"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상"
"강원도 원주시 (4213000000)","337,979","337,979","30,769","39,711","42,547","46,372","59,019","57,365","31,157","20,802","8,931","1,220","86","341,337","341,337","29,848","38,740","43,863","45,587","58,914","58,054","33,965","21,355","9,611","1,307","93","344,070","344,070","29,037","37,615","44,367","45,313","57,667","59,403","37,088","21,573","10,417","1,501","89","349,215","349,215","28,801","36,767","45,028","45,276","57,401","60,168","41,171","21,514","11,357","1,626","106","354,376","354,376","28,302","35,918","45,576","45,323","57,215","60,829","45,593","21,636","12,062","1,810","112","357,757","357,757","27,420","35,362","44,938","45,429","56,864","61,255","50,069","21,409","12,978","1,978","55"
"강원도 강릉시 (4215000000)","213,846","213,846","15,624","23,125","24,804","24,580","35,071","37,300","26,320","18,355","7,385","1,205","77","213,952","213,952","14,997","22,104","25,130","23,851","34,570","37,069","27,940","18,906","8,022","1,282","81","212,957","212,957","14,512","20,922","25,047","23,140","33,434","37,198","29,343","19,243","8,652","1,373","93","213,442","213,442","14,037","20,214","25,401","22,294","32,932","36,860","31,407","19,431","9,262","1,504","100","213,321","213,321","13,488","18,974","25,201","21,691","32,357","36,652","33,706","19,586","9,908","1,649","109","212,965","212,965","12,837","18,449","24,560","21,221","31,762","36,670","35,766","19,512","10,438","1,698","52"
"강원도 동해시 (4217000000)","93,297","93,297","7,981","10,416","9,710","11,554","15,973","15,884","11,150","7,399","2,835","368","27","92,851","92,851","7,651","9,948","9,944","10,927","15,792","15,753","11,722","7,641","3,049","394","30","91,272","91,272","7,306","9,471","9,631","10,095","15,236","15,721","12,189","7,909","3,258","430","26","90,522","90,522","6,876","9,084","9,437","9,555","14,897","15,706","12,961","7,982","3,530","465","29","90,593","90,593","6,625","8,817","9,419","9,233","14,569","15,638","13,905","8,082","3,750","524","31","90,081","90,081","6,272","8,535","9,361","8,677","14,228","15,731","14,679","7,994","4,008","584","12"
"강원도 태백시 (4219000000)","47,070","47,070","3,627","4,679","4,511","5,465","7,414","8,231","6,825","4,577","1,492","203","46","45,888","45,888","3,367","4,425","4,259","5,071","7,239","7,958","6,987","4,713","1,611","211","47","44,858","44,858","3,113","4,322","4,067","4,600","6,952","7,843","7,102","4,838","1,744","228","49","43,866","43,866","2,862","4,060","3,859","4,224","6,655","7,610","7,483","4,853","1,959","245","56","42,719","42,719","2,574","3,831","3,679","3,779","6,434","7,376","7,682","4,924","2,093","282","65","40,844","40,844","2,301","3,665","3,452","3,296","6,095","6,981","7,804","4,789","2,204","255","2"
"강원도 속초시 (4221000000)","81,793","81,793","6,411","9,086","8,962","9,746","13,914","15,077","9,457","6,181","2,539","394","26","82,273","82,273","6,171","8,625","9,170","9,674","13,753","15,139","10,132","6,449","2,688","447","25","81,682","81,682","6,052","8,201","8,948","9,448","13,078","15,201","10,838","6,571","2,817","502","26","81,786","81,786","5,961","7,772","8,912","9,292","12,650","15,219","11,679","6,705","2,980","583","33","82,665","82,665","5,859","7,478","9,018","9,199","12,482","15,176","12,798","6,804","3,202","617","32","82,791","82,791","5,621","7,220","8,958","9,112","12,149","15,068","13,878","6,770","3,395","608","12"
"강원도 삼척시 (4223000000)","69,599","69,599","4,609","6,775","8,696","7,127","10,224","12,211","9,296","7,020","3,181","421","39","68,514","68,514","4,366","6,455","8,499","6,738","9,893","11,954","9,689","7,078","3,353","449","40","68,326","68,326","4,310","6,012","8,334","6,697","9,703","11,986","10,039","7,149","3,561","490","45","67,228","67,228","4,139","5,610","7,935","6,344","9,332","11,767","10,556","7,200","3,775","524","46","65,243","65,243","3,861","5,134","7,236","5,795","8,923","11,331","11,167","7,187","3,976","582","51","63,429","63,429","3,524","5,018","6,721","5,210","8,497","10,920","11,843","6,992","4,074","614","16"
"강원도 홍천군 (4272000000)","70,076","70,076","4,735","6,438","7,056","7,102","9,748","13,707","10,062","7,482","3,249","456","41","70,340","70,340","4,536","6,153","7,073","6,886","9,494","13,618","10,974","7,526","3,544","495","41","69,949","69,949","4,401","5,814","6,796","6,720","9,001","13,393","11,937","7,472","3,852","528","35","69,150","69,150","4,061","5,529","6,583","6,330","8,567","13,124","12,828","7,344","4,180","567","37","69,242","69,242","3,800","5,180","6,875","6,139","8,297","12,754","13,820","7,310","4,387","637","43","68,365","68,365","3,535","4,962","6,495","5,720","7,973","12,122","15,114","7,104","4,657","661","22"
"강원도 횡성군 (4273000000)","45,991","45,991","2,541","4,155","4,260","4,041","6,031","9,233","7,226","5,595","2,510","380","19","46,281","46,281","2,458","4,031","4,204","3,920","5,801","9,158","7,839","5,721","2,709","416","24","46,726","46,726","2,403","3,827","4,245","3,853","5,618","9,168","8,505","5,716","2,918","449","24","46,575","46,575","2,291","3,693","4,045","3,650","5,285","9,045","9,337","5,649","3,081","469","30","46,472","46,472","2,159","3,500","3,851","3,439","5,119","8,739","10,273","5,592","3,242","523","35","46,481","46,481","2,108","3,441","3,622","3,240","4,926","8,502","11,158","5,466","3,454","538","26"
"강원도 영월군 (4275000000)","40,073","40,073","2,081","3,600","3,714","3,445","5,643","7,882","6,438","4,992","1,972","263","43","40,067","40,067","1,981","3,429","3,724","3,306","5,496","7,840","6,802","5,072","2,092","283","42","39,730","39,730","1,873","3,260","3,646","3,176","5,191","7,730","7,208","5,016","2,300","289","41","39,127","39,127","1,779","3,032","3,440","3,009","4,882","7,604","7,580","4,924","2,506","324","47","38,662","38,662","1,677","2,869","3,311","2,780","4,614","7,364","8,091","4,834","2,715","355","52","37,904","37,904","1,549","2,748","3,136","2,620","4,322","7,097","8,503","4,688","2,858","370","13"
"강원도 평창군 (4276000000)","43,318","43,318","2,547","3,731","3,840","4,122","6,502","8,745","6,577","5,010","1,877","339","28","43,092","43,092","2,381","3,553","3,769","3,916","6,247","8,655","7,074","5,081","2,050","334","32","42,610","42,610","2,212","3,377","3,660","3,650","5,860","8,612","7,542","5,126","2,214","322","35","42,106","42,106","2,036","3,137","3,468","3,427","5,526","8,400","8,198","5,061","2,470","345","38","41,681","41,681","1,868","2,907","3,415","3,098","5,341","8,080","8,876","4,988","2,701","365","42","40,996","40,996","1,715","2,724","3,240","2,824","5,053","7,802","9,485","4,877","2,877","382","17"
