사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Apr-22,경의선,1293,홍대입구,46475,55165,4886,5446
Apr-22,경의선,1294,디지털미디어시티,60727,54787,11120,10858
Apr-22,경의선,1295,김포공항,2,0,0,0
Apr-22,경의선,1296,계양,8,0,0,0
Apr-22,경의선,1297,검암,2,0,0,0
Apr-22,경춘선,1311,신내,43781,41713,16770,15967
Apr-22,경춘선,1312,갈매,63073,53480,19254,18075
Apr-22,경춘선,1313,별내,67896,63683,21236,19835
Apr-22,경춘선,1314,퇴계원,71750,64723,26979,25829
Apr-22,경춘선,1315,사릉,54492,52459,16525,16587
Apr-22,경춘선,1316,금곡,28269,26584,16004,15538
Apr-22,경춘선,1317,평내호평,132652,131186,43863,42171
Apr-22,경춘선,1318,천마산,30938,27974,18703,18916
Apr-22,경춘선,1319,마석,83630,82317,35075,35100
Apr-22,경춘선,1320,대성리,14339,14988,8826,8378
Apr-22,경춘선,1321,청평,33716,33040,19113,18841
Apr-22,경춘선,1322,상천,5636,4800,6606,6446
Apr-22,경춘선,1323,가평,36866,37597,16471,16456
Apr-22,경춘선,1324,굴봉산,2421,2362,3832,3854
Apr-22,경춘선,1325,백양리,1554,1542,1901,1909
Apr-22,경춘선,1326,강촌,11451,11136,6193,6314
Apr-22,경춘선,1327,김유정,7560,8639,4521,4655
Apr-22,경춘선,1328,남춘천,60045,58606,24090,25208
Apr-22,경춘선,1329,춘천,36973,32577,16802,13841
Apr-22,수인선,1873,고색,114228,109769,15359,14216
Apr-22,수인선,1874,오목천,85558,76339,12917,12899
Apr-22,수인선,1875,어천,17280,17285,5212,5723
Apr-22,수인선,1876,야목,8304,6356,2805,2160
Apr-22,수인선,1877,사리,119030,102764,17626,16536
Apr-22,수인선,1878,달월,1667,1307,1270,808
Apr-22,수인선,1879,월곶,63069,57517,15096,14974
Apr-22,수인선,1880,소래포구,108316,103069,70590,68978
Apr-22,수인선,1881,인천논현,124116,134001,29910,30291
Apr-22,수인선,1882,호구포,90169,93191,20132,19908
Apr-22,수인선,1883,남동인더스파크,49142,54931,6602,6567
Apr-22,수인선,1884,원인재,97411,103604,29748,30666
Apr-22,수인선,1885,연수,106748,105017,28262,27926
Apr-22,수인선,1886,송도,50151,45822,21340,21140
Apr-22,수인선,1888,인하대,166318,156697,26147,25293
Apr-22,수인선,1889,숭의,82153,74845,28464,26966
Apr-22,수인선,1890,신포,40717,40479,13266,13368
Apr-22,수인선,1891,인천,20564,39585,13407,17562
Apr-22,경강선,1501,판교,111383,111014,13252,11780
Apr-22,경강선,1502,이매,25265,20849,6197,5538
Apr-22,경강선,1503,삼동,51939,46606,11751,11638
Apr-22,경강선,1504,경기광주,180634,168482,29797,29655
Apr-22,경강선,1505,초월,72742,67850,14016,13736
Apr-22,경강선,1506,곤지암,51500,51714,13716,14076
Apr-22,경강선,1507,신둔도예촌,37919,33962,8022,7787
Apr-22,경강선,1508,이천,64584,67670,13006,13707
Apr-22,경강선,1509,부발,54170,52593,9115,8961
Apr-22,경강선,1510,세종대왕릉,6244,6434,3785,3832
Apr-22,경강선,1511,여주,57800,59405,15906,15957
Apr-22,5호선,2511,방화,133402,126940,47034,45186
Apr-22,5호선,2512,개화산,114131,107507,36389,36947
Apr-22,5호선,2513,김포공항,180433,175342,32120,34853
Apr-22,5호선,2514,송정,133779,124018,46097,45038
Apr-22,5호선,2515,마곡,229864,233700,37457,36187
Apr-22,5호선,2516,발산,451696,476132,85393,82926
Apr-22,5호선,2517,우장산,311467,299748,80785,83490
Apr-22,5호선,2518,화곡,633479,581878,133406,127768
Apr-22,5호선,2519,까치산,639427,597293,144130,145076
Apr-22,5호선,2520,신정(은행정),310880,245072,59009,57476
Apr-22,5호선,2521,목동,370160,394980,74287,74476
Apr-22,5호선,2522,오목교(목동운동장앞),496741,535491,78064,77107
Apr-22,5호선,2523,양평,165326,160849,26419,26277
Apr-22,5호선,2524,영등포구청,83405,85290,18650,18153
Apr-22,5호선,2525,영등포시장,213178,219845,63422,64820
Apr-22,5호선,2526,신길,100707,105693,10615,10854
Apr-22,5호선,2527,여의도,676364,724368,51287,49653
Apr-22,5호선,2528,여의나루,508465,573439,41654,43457
Apr-22,5호선,2529,마포,314286,323229,54061,53522
Apr-22,5호선,2530,공덕,315700,340093,40703,38210
Apr-22,5호선,2531,애오개,140669,141772,34746,33823
Apr-22,5호선,2532,충정로(경기대입구),106442,107255,12853,13208
Apr-22,5호선,2533,서대문,421465,425797,58016,53745
Apr-22,5호선,2534,광화문(세종문화회관),681017,716299,67733,66745
Apr-22,5호선,2535,종로3가,277276,274706,81901,87881
Apr-22,5호선,2536,을지로4가,117197,121242,39553,39275
Apr-22,5호선,2537,동대문역사문화공원(DDP),59731,70838,7605,8623
Apr-22,5호선,2538,청구,83264,77579,23533,18247
Apr-22,5호선,2539,신금호,137904,139497,35112,39392
Apr-22,5호선,2540,행당,171208,149985,44479,40021
Apr-22,5호선,2541,왕십리(성동구청),102443,124227,21771,21459
Apr-22,5호선,2542,마장,119182,111470,34658,33525
Apr-22,5호선,2543,답십리,344734,309057,73447,71046
Apr-22,5호선,2544,장한평,397095,389298,82745,83578
Apr-22,5호선,2545,군자(능동),265548,295106,37893,39496
Apr-22,5호선,2546,아차산(어린이대공원후문),351850,339174,95158,92789
Apr-22,5호선,2547,광나루(장신대),308854,279759,65637,63441
Apr-22,5호선,2548,천호(풍납토성),389778,383627,117098,119995
Apr-22,5호선,2549,강동,396792,378996,99265,96431
Apr-22,5호선,2550,길동,148716,153521,65267,67493
Apr-22,5호선,2551,굽은다리(강동구민회관앞),192139,180674,65245,59854
Apr-22,5호선,2552,명일,174658,177168,61928,64486
Apr-22,5호선,2553,고덕,195065,191150,60181,59872
Apr-22,5호선,2554,상일동,309214,284863,82297,78617
Apr-22,5호선,2555,둔촌동,170263,168366,57011,57209
Apr-22,5호선,2556,올림픽공원(한국체대),89449,77883,34199,30902
Apr-22,5호선,2557,방이,150877,154287,40434,39964
Apr-22,5호선,2558,오금,81227,81292,18016,17499
Apr-22,5호선,2559,개롱,127716,133164,42734,44155
Apr-22,5호선,2560,거여,213073,200195,57948,56566
Apr-22,5호선,2561,마천,142347,134441,51695,53363
Apr-22,5호선,2562,강일,83336,76582,29766,29233
Apr-22,5호선,2563,미사,371134,369856,68599,68446
Apr-22,5호선,2564,하남풍산,90793,89303,24243,23671
Apr-22,5호선,2565,하남시청(덕풍·신장),132538,124834,57514,58451
Apr-22,5호선,2566,하남검단산,122683,116574,43249,43347
Apr-22,6호선,2611,응암,372363,367824,110009,108862
Apr-22,6호선,2612,역촌,69573,86700,29138,28884
Apr-22,6호선,2613,불광,84602,87481,37176,30864
Apr-22,6호선,2614,독바위,56667,57117,17790,22545
Apr-22,6호선,2615,연신내,22,0,0,0
Apr-22,6호선,2616,구산,162404,104018,46336,48205
Apr-22,6호선,2617,새절(신사),274084,250783,81631,80932
Apr-22,6호선,2618,증산(명지대앞),210316,207184,67547,68289
Apr-22,6호선,2619,디지털미디어시티,301135,327398,51731,52303
Apr-22,6호선,2620,월드컵경기장(성산),83302,89774,55526,53917
Apr-22,6호선,2621,마포구청,304532,269550,69875,63251
Apr-22,6호선,2622,망원,321078,347256,73139,75584
Apr-22,6호선,2623,합정,338680,333009,36085,33416
Apr-22,6호선,2624,상수,225734,266251,19458,19745
Apr-22,6호선,2625,광흥창(서강),193289,183913,42894,41890
Apr-22,6호선,2626,대흥(서강대앞),182234,188381,41005,40771
Apr-22,6호선,2627,공덕,403369,391884,66650,62180
Apr-22,6호선,2628,효창공원앞,157553,143769,35518,33008
Apr-22,6호선,2629,삼각지,167346,142955,15038,12207
Apr-22,6호선,2630,녹사평(용산구청),127530,131951,16510,15480
Apr-22,6호선,2631,이태원,299476,332769,28710,29872
Apr-22,6호선,2632,한강진,208563,254032,14475,14555
Apr-22,6호선,2633,버티고개,45160,42702,11782,13938
Apr-22,6호선,2634,약수,75774,77067,20496,19798
Apr-22,6호선,2635,청구,80112,82846,17834,20749
Apr-22,6호선,2636,신당,194078,199725,34217,33305
